ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80744,Rua Cosme Velho,381,,Cosme Velho,22241-090,Rio de Janeiro,RJ,"-22.939573,-43.196106",False
80745,Rua Hermínio Alves Queiroz,1416,,Piedade,54310-390,Jaboatão dos Guararapes,PE,"-8.164238,-34.917802",False
80746,Rua Paulo Sell,428,,Taquaras,88470-000,Rancho Queimado,SC,"-27.642895,-49.113238",False
80747,Rua Borges de Medeiros,s/n,,Centro,97450-000,Cacequi,RS,"-29.888778,-54.822545",False
80748,Rua Benedito Gebara,277,,Centro,17470-000,Duartina,SP,"-22.415246,-49.406617",False
80749,Avenida Paulista,200,Hospital Santa Catarina,Bela Vista,01310-000,São Paulo,SP,"-23.570661,-46.644767",False
80750,Vila São José do Mauá,s/n,,Centro,98947-000,Porto Mauá,RS,"-27.580056,-54.666273",False
80751,Rua Portugal,1100,,Estoril,09831-400,São Bernardo do Campo,SP,"-23.77248316705087,-46.52152061462402",False
80752,Rua Porfírio Dias,405,Memorial Prefeito Cardoso,Centro,18760-000,Cerqueira César,SP,"-23.03484,-49.170649",False
80753,Rodovia BR 356 km 98,s/n,Em frente ao Hospital de Ouro Preto,Bauxita,35400-000,Ouro Preto,MG,"-20.4082819,-43.508281",False
80754,Praça XV de Novembro,s/n,,Terreiro de Jesus,40025-040,Salvador,BA,"-12.972735,-38.510618",False
80755,Mário Ipyranga Monteiro,3280,Ipaam - Instituto de Proteção Ambiental do Amazonas,Parque Dez de Novembro,69050-030,Manaus,AM,"-3.0826617,-60.0232025",False
80756,Praça São Francisco,s/n,,Centro,49100-000,São Cristóvão,SE,"-10.948309,-37.129287",False
80757,Avenida Montreal,s/n,,Jardim Canadá,34000-000,Nova Lima,MG,"-20.061923,-43.98038",False
80758,Engenho Poço Comprido,s/n,"Acesso pela Rodovia BR 408 e Rodovia PE 74, em Vicência",Zona Rural,55850-000,Vicência,PE,"-7.656959,-35.314274",False
80759,Rua Hermílio Alves,366,,Centro,36307-328,São João del Rei,MG,"-21.13521,-44.259572",False
80760,Praça Coronel Eugênio Franco,1,Posto Seis,Copacabana,22070-020,Rio de Janeiro,RJ,"-22.986331,-43.188841",False
80761,Praça ProfessorJosé Augusto Neves,171,,Rio Grande,39100-000,Diamantina,MG,"-18.241785,-43.603512",False
80762,Rua Francisco Gomes,82,,Centro,63140-000,Assaré,CE,"-6.867297,-39.869236",False
80763,"Núcleo Rural Córrego da Onça, Rua C chácara",3,,Núcleo Bandeirante,71761-405,Brasília,DF,"-15.97544292553878,-47.962250679758114",False
80764,Praça Quincas Castro s/nº,s/n,,Centro,64400-000,Amarante,PI,"-6.2434412,-42.8437249",False
80765,Rua Imaculada Conceição,1155,,Prado Velho,80215-901,Curitiba,PR,"-25.450556,-49.250883",False
80766,Senado Federal,s/n,"Praça dos Três Poderes, Palácio do Congresso Nacional, ed. principal",Plano Piloto,70160-900,Brasília,DF,"-15.7992078,-47.8640057889324",False
80767,Avenida Júlio Câmara,s/n,Prédio anexo ao antigo Seminário São Judas Tadeu,Não Informado,56800-000,Afogados da Ingazeira,PE,"-7.7527388,-37.6369235",False
80768,Avenida dos Bandeirantes,2090,,Jardim Sarinha,15685-000,OurOeste,SP,"-23.613203,-46.669981",False
80769,"Avenida Dom Hélder Câmara, de 3538 a 4738 - lado par",3970,Anexo (Igreja Universal),Del Castilho,20771-003,Rio de Janeiro,RJ,"-22.8865719,-43.3068707",False
80770,Rua MIguel Loreto Sobrinho,444,Anexo,Gonçalves,96501-150,Cachoeira do Sul,RS,"-30.0426745,-52.9167175",False
80771,Rua Olindino Santino,60,,Centro,55130-000,São Caitano,PE,"-8.32836,-36.136771",False
80772,Rua Ruy Barbosa,84,,Além Ponte - Vila Hortência,18020-040,Sorocaba,SP,"-23.502333,-47.448682",False
80773,Praça Sá Barreto,s/n,,Cruzeiro,45040-060,Vitória da Conquista,BA,"-14.861921,-40.844541",False
80774,Rua Padre Miguelinho,58,,Centro,88010-500,Florianópolis,SC,"-27.595697,-48.548584",False
80775,Praça da Bandeira,s/n,,Centro,49015-190,Aracaju,SE,"-10.917548,-37.057258",False
80776,Rua Humaitá,194,Estádio Orlando Scarpelli,Estreito,88070-730,Florianópolis,SC,"-27.585151848400773,-48.58577013015747",False
80777,Rua Osvaldo Aranha,2215,,Ferroviário,95780-000,Montenegro,RS,"-29.682545,-51.453889",False
80778,Avenida das Hostênsias,3662,,Avenida Central,95670-000,Gramado,RS,"-29.379025,-50.866367",False
80779,"Avenida João Paulo II, s/n",s/n,Referência: Entrada pela COSANPA,Curió-Utinga,61007-000,Belém (Pará),PA,"-1.455752,-48.490186",False
80780,Rua Dona Francisca,600,,Centro,89201-250,Joinville,SC,"-26.29628,-48.843017",False
80781,Estrada de São Brás,s/n,,Ana Rech,95034-240,Caxias do Sul,RS,"-29.1634,-51.179675",False
80782,Rua São Sebastião,524,,Vila Ivonete,69914-400,Rio Branco (Acre),AC,"-9.958511,-67.826128",False
80783,Praça Waldemar D'Ambrosio,s/n,,Centro,15900-000,Taquaritinga,SP,"-21.408539,-48.499538",False
80784,Largo da Matriz,63,,Centro,06501-005,Santana de Parnaíba,SP,"-23.4452914,-46.9142413",False
80785,Rua Frei Durão,49,,Centro Histórico,35420-000,Mariana,MG,"-20.377689,-43.415702",False
80786,Rua Doutora Cecília Rangel Janine,s/n,Espaço Cultural Mario Belinelli,Centro,17560-000,Vera Cruz (São Paulo),SP,"-22.227082,-49.804738",False
80787,Rua Comendador Nestor Pereira,33,,Canindé,03034-070,São Paulo,SP,"-23.523894,-46.619869",False
80788,Rua Marechal Deodoro,874,,Centro,96300-000,Jaguarão,RS,"-32.561073,-53.377933",False
80789,Rua Frei Apolonio de Todi - Praça Monsenhor Berenguer,538,,Centro,48800-000,Monte Santo,BA,"-10.43784,-39.332439",False
80790,Avenida Presidente Nereu Ramos,1071,,Jardim do Moinho,89300-000,Mafra,SC,"-26.116425,-49.809113",False
80791,Praça José Ferreira de Queiroga,s/n,,Não Informado,58840-000,Pombal,PB,"-6.7699873433205076,-37.80225992202759",False
80792,Estrada Mona Lisa,s/n,,Zona Rural,85900-970,Toledo (Paraná),PR,"-24.725113,-53.741691",False
80793,Praia da Cal,s/n,,Praia da Cal,95560-000,Torres,RS,"-29.34885,-49.730678",False
80794,Rua Noé Dias dos Reis,14,,Centro,38950-000,Ibiá,MG,"-19.4780324956714,-46.5417766571045",False
80795,Rua Doutor Pedro Zimmermann,8170,,Itoupava Central,89069-000,Blumenau,SC,"-26.80843,-49.090207",False
80796,BR 365,s/n,próximo ao clube de campo Beira Rio,Setor Industrial Antonio Baduy,38300-140,Ituiutaba,MG,"-18.9612061,-49.4729439",False
80797,Rua 22 c/ 19 e 21,1115,,Centro,38300-000,Ituiutaba,MG,"-18.9673684,-49.4643522",False
80798,Rua Pinheiro Rocha,315,,Centro,97610-000,São Francisco de Assis,RS,"-29.550609,-55.131184",False
80799,Prefeitura Municipal de Piranhas - Rua José Martiniano Vasco,s/n,,Centro Histórico,57460-000,Piranhas (Alagoas),AL,"-9.624419,-37.757334",False
80800,Avenida Expedicionário,s/n,Praça Farroupilha,Centro,99560-000,Sarandi (Rio Grande do Sul),RS,"-27.942485,-52.923607",False
80801,Rua Visconde de Mauá,s/n,,Centro,57480-000,Delmiro Gouveia,AL,"-9.385757,-37.999026",False
80802,Rua Visconde de Guarapuava,288,,Centro,85010-240,Guarapuava,PR,"-25.392966,-51.465267",False
80803,Rua Coronel Irlandino Barbosa Sandoval,s/n,,Ituverava,14500-000,Ituverava,SP,"-20.3374586,-47.77699110000003",False
80804,"Rua Benedito Almeida Campos, nº 21",s/n,,Centro,76640-000,Uruaçu,GO,"-14.524278,-49.140082",False
80805,Avenida Padre Osório Braga,18,,Centro,32600-174,Betim,MG,"-19.9757887,-44.1899575",False
80806,Rua Santo Antônio do Monte,708,,Santo Antônio,30330-220,Belo Horizonte,MG,"-19.947788,-43.941511",False
80807,Praça Governador Portela,7,,Centro,28650-000,Duas Barras,RJ,"-22.05188,-42.52094",False
80808,Avenida Governador Magalhães Barata,376,Perímetro travessas Nove de Janeiro e Três de Maio,São Brás,66040-170,Belém (Pará),PA,"-1.452014,-48.476673",False
80809,Rua XV de Novembro,s/n,31º BIMTZ,Palmeira,58102-300,Campina Grande,PB,"-7.21157141983078,-35.8899414539337",False
80810,Rua Mateus Leme,s/n,Com a Rua Vieira dos Santos e com a Rua Deputado Mário de Barros,Centro Cívico,80530-010,Curitiba,PR,"-25.382993,-49.268018",False
80811,Rua 1º de Setembro,83,,Centro,63520-000,Orós,CE,"-6.252212,-38.905619",False
80812,Rua Cônego Bessa,2381,Nas dependências do NIT - Núcleo de Informação Tecnológica – CENTEC ( Faculdade de Tecnologia – CENTEC – Limoeiro do Norte).,Centro,62930-000,Limoeiro do Norte,CE,"-5.144309,-38.08504",False
80813,Rua Madre Paulina,s/n,,Vigolo,88270-000,Nova Trento,SC,"-27.27819,-48.938442",False
80814,Avenida Padre Pio Corso,1258,,Jardim,13670-000,Santa Rita do Passa Quatro,SP,"-21.7142441,-47.492778499999986",False
80815,Avenida Mário Ipiranga Monteiro,3280,CEUC - Centro Estadual de Unidades de Conservação,Parque Dez,69050-030,Manaus,AM,"-3.08559589239238,-60.0207245349884",False
80816,Rua Amaro Souto,2574,,Centro,97590-000,Rosário do Sul,RS,"-30.258837,-54.919235",False
80817,Fazenda da Cascata,s/n,"2º Distrito de Alegrete BR 290 até o km 533, entra pela estrada não pavimentada até a Lagoa do Parove",Rural,97542-450,Alegrete,RS,"-29.8186785498973,-55.7267761230469",False
80818,Rua 13 de Maio,32,Largo da Igreja da Ajuda,Centro,40300-000,Cachoeira,BA,"-12.605156,-38.963388",False
80819,Avenida Antonio Silvio cunha Bueno,1322,,Jardim Inamar,09970-160,Diadema,SP,"-23.721161,-46.612918",False
80820,Rua Professor Benedito Conceição,407,,Capão da Imbuia,82810-080,Curitiba,PR,"-25.43661,-49.220772",False
80821,Rua João Pessoa,s/n,,Centro,57210-000,Piaçabuçu,AL,"-10.4045143,-36.4306362",False
80822,Praça João Cardoso Filho,117,,Centro,37970-000,Pratápolis,MG,"-20.741526,-46.862848",False
80823,LMG-754,358,ap 701,Centro,35780-000,Cordisburgo,MG,"-19.11723258481442,-44.322474002838135",False
80824,Rua Rebolo Gonzáles,185,,Vila Cercado Grande,06804-100,Embu das Artes,SP,"-23.645892,-46.850147",False
80825,Praça Antônio Satte Alam,s/n,"Secretaria de Cultura, Desporto e Turismo",Centro,96360-000,Pedro Osório,RS,"-31.864739,-52.818931",False
80826,Município de Cornélio Procópio,s/n,,Não Informado,86300-000,Cornélio Procópio,PR,"-23.183387,-50.650255",False
80827,Rua Demétrio Ribeiro,1168,Loja 4,Centro,90020-025,Porto Alegre,RS,"-30.0360433,-51.2274075",False
80828,Rua Ruy Barbosa,12,Centro Histórico,Ajuda,40020-070,Salvador,BA,"-12.97656,-38.513879",False
80829,Rua Monte Alegre,984,Prédio Sede - Sala S-23,Perdizes,05014-901,São Paulo,SP,"-23.538047,-46.670531",False
80830,Rua Vito Pentagna,213,,Benfica,27600-000,Valença (Rio de Janeiro),RJ,"-22.242933,-43.697724",False
80831,"Estrada Rolândia-Pitangueiras, km 5",s/n,,Não Informado,86600-000,Rolândia,PR,"-23.2349597,-51.5852982",False
80832,Rua Visconde de Niterói,1296,,Mangueira,20943-001,Rio de Janeiro,RJ,"-22.900458,-43.2408",False
80833,Rua do Acampamento,81,,Centro,97050-001,Santa Maria (Rio Grande do Sul),RS,"-29.6871672971894,-53.8069152832031",False
80834,Rua Carlos de Haasis,59,Espaço da Feira da Roça,Centro,27420-070,Quatis,RJ,"-22.411852,-44.263892",False
80835,Rua Dom Marcolino,292,,Centro,59460-000,São Paulo do Potengi,RN,"-5.899797,-35.764556",False
80836,Rua Coronel Gallotti,183,Casarão Gallotti,Centro,88200-000,Tijucas,SC,"-27.24259232115304,-48.62866401672363",False
80837,Rua dos Andradas,660,,Centro,97578-870,Sant'Ana do Livramento,RS,"-30.89039,-55.531765",False
80838,Rua Eurípedes Martins,548,,Centro,64300-000,Valença do Piauí,PI,"-6.4037504,-41.7402015",False
80839,"Avenida Eubia Barroso, Shopping Clacita, sala 15",s/n,,Centro,62500-000,Itapipoca,CE,"-3.511784,-39.583493",False
80840,Avenida Sete de Setembro,2775,,Rebouças,80230-010,Curitiba,PR,"-25.437305,-49.265464",False
80841,Rua Sete de Abril,s/n,,Centro,95990-000,Ilópolis,RS,"-28.928741,-52.126337",False
80842,Avenida Afonso Pena,2270,,Centro,79002-074,Campo Grande (Mato Grosso do Sul),MS,"-20.464013,-54.615873",False
80843,Avenida Waldemar Lopes Ferraz,s/n,,Centro,15775-000,Santa Fé do Sul,SP,"-20.214227,-50.937532",False
80844,Avenida Andrade Neves,33,,Centro,13013-160,Campinas,SP,"-22.907924,-47.067292",False
80845,Rua Sete de Setembro,460,,Centro,92500-000,Guaíba,RS,"-30.109766,-51.314866",False
80846,Rua Plácido Gonçalves,1508,,Centro,97340-000,São Sepé,RS,"-30.166994,-53.568321",False
80847,Avenida Chrisostomo Pimentel de Oliveira,443,"QB, C1",Anchieta,21645-521,Rio de Janeiro,RJ,"-22.81940895,-43.39518805",False
80848,Servidão Anjo da Guarda,295D,"Bloco C, subsolo",Efapi,89809-900,Chapecó,SC,"-27.088462,-52.612155",False
80849,Avenida Getúlio Vargas,62,,Centro,95690-000,Rolante,RS,"-29.6526697,-50.5742766",False
80850,Rua Princesa Isabel,385,,Centro,17930-000,Tupi Paulista,SP,"-21.3868599,-51.5774417",False
80851,4º Sub-Distrito de Alegrete,s/n,,Distrito de Vasco Alves,97543-180,Alegrete,RS,"-29.7906476,-55.7954085",False
80852,Avenida dos Pioneiros,4050,,Colônia,84145-000,Carambeí,PR,"-24.915721,-50.099111",False
80853,"BR 070, km 113",s/n,,Aldeia Bororo de Meruri,78620-000,General Carneiro (Mato Grosso),MT,"-15.709884,-52.757853",False
80854,Avenida 27 de Dezembro,556,Estação Ferroviária,Centro,14935-000,Trabiju,SP,"-22.0410996,-48.33887010000001",False
80855,Rua Aprígio Veloso,882,Campus I/UFCG - Bloco BF,Bodocongó,58429-900,Campina Grande,PB,"-7.216697,-35.909976",False
80856,Rua Prudente de Moraes,211,Sul,Centro,17280-000,Pederneiras,SP,"-22.236351,-48.720809",False
80857,Rua G - Qd 05 - Casa 03,s/n,,Jardim Flamboyant,78035-550,Cuiabá,MT,"-15.601408,-56.097898",False
80858,Avenida Fernando Ferrari,514,Sala atrás do painel mosaico da UFES,Goiabeiras,29075-910,Vitória,ES,"-20.2775638,-40.3036012",False
80859,Rua Mathias Aparecido Fogaça,162,,Centro,86640-000,Cafeara,PR,"-22.789521,-51.714686",False
80860,Rua Baturité,162,,Centro,60060-180,Fortaleza,CE,"-3.723369,-38.523051",False
80861,Rua Ramiro Barcelos,910,,Moinhos de Vento,90035-001,Porto Alegre,RS,"-30.025792,-51.209556",False
80862,Rua Comendador Miró,1420,Instituto Ambiental do Paraná – IAP. Escritório Regional de Ponta Grossa.,Não Informado,84010-160,Ponta Grossa,PR,"-25.0915940422271,-50.155291557312",False
80863,Avenida Mário Ipiranga Monteiro,3280,CEUC - Centro Estadual de Unidades de Conservação,Parque Dez de Novembro,69050-030,Manaus,AM,"-2.15281358312885,-61.3627624511719",False
80864,"SEMA - Avenida Colares Moreira, Quadra: 19, Casa: 9",s/n,,Calhau,65075-440,Mirador (Maranhão),MA,"-6.374936,-44.368677",False
80865,Orla Conde,s/n,Atrás do CCBB,Centro,20021-000,Rio de Janeiro,RJ,"-22.8957843,-43.1795609",False
80866,Rua Romano Ancelmo Fontana,675,,Centro,89700-095,Concórdia,SC,"-27.2270284,-52.0294549",False
80867,Rua João Marchiori,s/n,Centro,Centro,97230-000,São João do Polêsine,RS,"-29.6183552,-53.4544548",False
80869,Rua da Glória,s/n,,Centro,39100-000,Diamantina,MG,"-18.241948,-43.599623",False
80870,Rua Coronel Brandão,s/n,Esquina com a Rua 17 de Novembro,Centro,69930-000,Xapuri,AC,"-10.654071,-68.499413",False
80871,Paróquia de São Marcos,1058,Rua Osvaldo Aranha,Centro,95190-000,São Marcos,RS,"-28.971386,-51.068871",False
80872,Rua Marechal Floriano,980,,Centro,95520-000,Osório,RS,"-29.887271,-50.268903",False
80873,Usina Santa Helena,s/n,,Zona Rural,58000-000,Sapé,PB,"-7.093997,-35.228298",False
80874,Rua Adolfo Stadler,s/n,,Centro,84550-000,Rebouças,PR,"-25.623683,-50.688221",False
80875,Praça Doutor Sérgio de Magalhães,868,,Centro,56900-000,Serra Talhada,PE,"-7.982188,-38.289385",False
80876,Avenida Miguel Stéfano,3031,,Água Funda,04045-972,São Paulo,SP,"-23.6379477,-46.6273047",False
80877,Avenida Duque de Caxias,1850,Junto à Biblioteca Pública Municipal Irmã Lúcia Kuhn,Centro,95758-000,São Pedro da Serra,RS,"-29.419166018584,-51.512548327446",False
80878,Avenida Caboclo Bernardo,s/n,Próximo ao campo de futebol,Distrito de Regência,29900-000,Linhares,ES,"-19.582318,-39.790513299999986",False
80879,Alameda Antônio Brennand,s/n,,Várzea,50741-904,Recife,PE,"-8.065241,-34.963326",False
80880,Avenida Brasil,1293,,Jardim São Paulo,13468-030,Americana,SP,"-22.7536854,-47.351345",False
80881,Rua Valério Magalhães,226,,Bosque,69909-710,Rio Branco (Acre),AC,"-9.960511,-67.810944",False
80882,Rua São Paulo,428,,Centro,99835-000,Áurea,RS,"-27.694074,-52.05102",False
80883,Rodovia PR 412,s/n,,Balneário Riviera,83260-000,Matinhos,PR,"-25.8138771409168,-48.5337352752686",False
80885,Rua Barão do Serro Azul,316,,Centro,80020-180,Curitiba,PR,"-25.426296,-49.270665",False
80886,Rua Castro Alves,s/n,,Centro,98435-000,Pinheirinho do Vale,RS,"-27.2123972,-53.61494170000003",False
80887,Avenida João Ferraz Netto,201,,Chácara Doutor Lopes,17207-330,Jaú,SP,"-22.2855498,-48.5535485",False
80888,Praça Manoel Rodrigues da Rocha,s/n,,Centro,57500-000,Santana do Ipanema,AL,"-9.370411,-37.248361",False
80889,Avenida da Nações Via L4 Sul,s/n,,Asa Sul,70610-100,Brasília,DF,"-15.8444989,-47.9433097",False
80890,Alameda Candido Portinari,66,,Apidiá,76970-000,Pimenta Bueno,RO,"-7.92867480136403,-65.390625",False
80891,Praça da Bandeira,351,,Centro,17475-000,Lucianópolis,SP,"-22.429894,-49.522475",False
80892,Avenida Getúlio Vargas,530,Praça Frei Euzébio de Alfredo Chaves,Centro,88915000,Maracajá,SC,"-28.8468405,-49.4610376",False
80893,Avenida dos Portugueses,s/n,Departamento de Física – CCET – Universidade Federal do Maranhão,Campus do Bacanga,65080-580,São Luís,MA,"-2.560659,-44.315136",False
80894,Travessa Gabriel Salgado,s/n,,Centro,69005-340,Manaus,AM,"-3.1338961,-60.0284761",False
80896,Praça Santa Cruz,s/n,,Alto do Cruzeiro,57312-251,Arapiraca,AL,"-9.751614,-36.660425",False
80897,Rua Comandante Costa,s/n,Praça do Morro da Caixa D'Água Velha,Centro Sul,78020-820,Cuiabá,MT,"-15.599076,-56.101401",False
80898,Rua Silvério José da Silva,95,Casarão,Centro,35730-000,Capim Branco,MG,"-19.5460049670985,-44.1349875926971",False
80899,Manicoré,s/n,,Parque,69280-000,Manicoré,AM,"-5.78884738499836,-61.2762451171875",False
80900,Rua Rui Barbosa,311,,Centro,99800-000,Marcelino Ramos,RS,"-27.468109,-51.910015",False
80901,Rua Josino Agra,s/n,Vila Olímpica Plínio Lemos,José Pinheiro,58407-315,Campina Grande,PB,"-7.221408,-35.870603",False
80903,Avenida Joaquim Thomás de Aquino Filho,1,,Centro,28200-000,São João da Barra,RJ,"-21.6341268,-41.04951169999998",False
80904,Avenida José Rodrigues de Barros,s/n,Avenida Beira Rio,Distrito de Várzea do Una,55565-000,São José da Coroa Grande,PE,"-8.889795,-35.151785",False
80905,Praça 5 de Julho,60,Prédio da Estação,Centro,28030-350,Campos dos Goytacazes,RJ,"-21.762666,-41.318457",False
80906,Rua Carlos Acioli,288,,Valverde,26291-030,Nova Iguaçu,RJ,"-22.770936,-43.530196",False
80907,Rua Dom Luís Lasagna,300,,Ipiranga,04266-030,São Paulo,SP,"-23.590859,-46.61121",False
80908,Avenida Independência,s/n,,Jardinópolis,85885-000,Serranópolis do Iguaçu,PR,"-25.380388,-54.052341",False
80909,Rua Benjamin Constant,318,,Centro,84010-390,Ponta Grossa,PR,"-25.095577,-50.155495",False
80910,Praça Doutor José Augusto,228,,Centro,59343-000,Jardim do Seridó,RN,"-6.58644245871986,-36.7736327648163",False
80911,Travessa São José,s/n,,Matriz,65235-000,São Bento (Maranhão),MA,"-2.70143142661307,-44.8233282566071",False
80912,Rua Tenente Portela,327,,Centro,78640-000,Canarana (Mato Grosso),MT,"-13.551929,-52.270963",False
80913,Rua Major Corrêa,505,,Centro,13880-000,Vargem Grande do Sul,SP,"-21.827732,-46.893237",False
80914,Rua Tenente Ari Rodrigues,252,,Centro,79240-000,Jardim (Mato Grosso do Sul),MS,"-21.482097,-56.135725",False
80915,Rua Marquês de São Vicente,476,,Gávea,22451-044,Rio de Janeiro,RJ,"-22.981977,-43.238914",False
80916,Avenida 3,240,,Centro,38300-160,Ituiutaba,MG,"-18.977651,-49.464407",False
80917,Rodovia BR 267,s/n,Referência: Trevo do Hospital,Vila de Conceição do Ibitipoca,36140-000,Lima Duarte,MG,"-21.839086,-43.793836",False
80918,Largo São Pedro Gonçalves,7,,Varadouro,58010-590,João Pessoa,PB,"-7.11241208707846,-34.8888605833054",False
80919,Universidade de Brasília - Campus Universitário Darcy Ribeiro,s/n,"ICC Central - Instituto de Física, sala BT 291",Asa Norte,70910-900,Brasília,DF,"-15.765164,-47.869916",False
80920,Ladeira Luiz Vianna,s/n,,Santo Antônio,40030-000,Salvador,BA,"-12.972226,-38.501426",False
80921,Rua Direita,39,,Centro,72980-000,Pirenópolis,GO,"-15.852105,-48.957675",False
80922,Avenida Conde D'eu,560,,Centro,60170-090,Fortaleza,CE,"-3.7256542,-38.5255949",False
80923,Rua Irmã Arminda,18537,,Jardim Brasil,17011-160,Bauru,SP,"-22.328786,-49.060215",False
80925,Avenida João Batista Vetorazzo,500,,Distrito Industrial,15035-470,São José do Rio Preto,SP,"-20.813923,-49.41393",False
80926,Avenida Rio Bahia,484,,Amândio Ventura,39625-000,Itaobim,MG,"-16.557535,-41.502083",False
80927,Avenida Cineasta Humberto Mauro,207,,Centro,36720-000,Volta Grande,MG,"-21.767578,-42.537914",False
80928,Rua Direita do Santo Antônio,177,,Santo Antônio (Centro Histórico),40301-280,Salvador,BA,"-12.96703,-38.506351",False
80929,Rua Tapajós,660 B,,Vila Rica,79022-210,Campo Grande (Mato Grosso do Sul),MS,"-20.439909,-54.593155",False
80930,Rua Lindolfo Collor,40,,Centro,93010-080,São Leopoldo,RS,"-29.768381,-51.141",False
80931,Rua das Crianças,188,,Portal da Olaria,11600-000,São Sebastião (São Paulo),SP,"-23.768308,-45.408209",False
80932,Praça Padre Gomes Leal,365,,Centro,27600-000,Valença (Rio de Janeiro),RJ,"-22.246282,-43.707379",False
80933,SIA Trecho 3,s/n,lote 1.220,Brasília,71200-030,Brasília,DF,"-15.8019025,-47.9649708",False
80934,Avenida Professor Mello Moraes,140,Travessa 8,Cidade Universitária,05508-900,São Paulo,SP,"-23.558861,-46.719742",False
80935,Avenida Bem-te-vi,s/n,,Petrópolis,69060-001,Manaus,AM,"-3.082857,-59.978229",False
